"Binalonan, Pangasinan — Central Agricultural Production Dataset",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crop
Type",Barangay,Month,Year,"Season /
Period",Phase,"Rainfall
(mm/day)","Avg Temp
(°C)","Min Temp
(°C)","Max Temp
(°C)","Humidity
(%)","Surface
Pressure (kPa)","Solar Rad.
(MJ/m²/day)","Climate
Type","Climate
Season",Soil Type,Terrain Type,"Elevation
(m asl)","Nearest
Water Body","Land Size
(ha)","Irrigated
Area (ha)","Rainfed
Area (ha)","Total Area
Planted (ha)","Area
Harvested (ha)","Production
(MT)","Yield
(MT/ha)","Primary Planting
Technique",Tillage Method,Water Management
Palay,Pasileng Norte,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,Tagamusing River,140.28,6.00,26.40,69.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Tabuyoc,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,277.20,10.00,81.66,59.00,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Bued,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,Tagamusing River,210.84,2.00,35.32,34.10,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Dumayat,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,—,266.28,2.00,35.32,12.25,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Camanggaan,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,—,244.44,5.43,52.42,38.83,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
Palay,Bugayong,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam / Silty Clay Loam,Flat / Lowland,30,Aloragat River,346.08,2.00,41.02,20.00,,,,Transplanting (Pindot) — recommended; Direct Seeding possible in dry season,Conventional Tillage: 2 plowings + harrowing; puddle thoroughly for transplanting,Intermittent to continuous flooding; manage according to drainage section present
Palay,Vacante,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,Aloragat River,484.68,20.06,81.66,33.83,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,Sta. Catalina,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Fine Sand / Sandy Loam,Moderately Sloping / Highland,90,—,709.80,2.00,145.04,41.37,,,,Transplanting (Pindot),Minimum Tillage (avoid compaction; sandy structure fragile),Continuous flooding or frequent irrigation; high percolation risk; terrace or bund-assisted water retention essential on slopes
Palay,Moreno,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Moderately Sloping / Highland,90,Alibeng River,641.76,2.00,135.56,28.92,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention; terrace or bund-assisted water retention essential on slopes
Palay,Cili,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Silty Clay Loam,Flat / Lowland,30,Alibeng River,264.60,2.00,35.32,14.00,,,,Transplanting (Pindot) — optimal for clay-loam paddy fields,Wet Tillage (Puddling): 2 plowings + thorough harrowing under flooded condition,Continuous flooding 2–5 cm depth during vegetative stage; drain 2 weeks before harvest
Palay,San Pablo,January,2007,DS 2007-2008,Planting,0.40,24.24,16.82,31.18,79.65,98.68,16.49,Type I – Tropical Monsoon (PAGASA),Dry (Cool),Sandy Loam,Flat / Lowland,30,San Pablo Creek,215.04,5.00,20.70,39.00,,,,Transplanting (Pindot) or Direct Seeding (Pinaghandaan),Conventional Tillage: 2 plowings + 2 harrowings; soil workable when moist,Intermittent irrigation (Alternate Wetting and Drying — AWD); moderate retention
